id,title,category,subcategory,short_pitch,merchant,product_url,list_or_typical_price,current_price,discount_basis,is_verified_discount,currency,ceiling_bucket,restrictions_notes,last_checked_date,suggested_affiliate_network,image_notes,image_url,image_alt,image_source,status
tinkr-home-essentials-kit-target,TINKR Home Essentials Kit with Canvas Roll-up Case,home,hand-tools,"A compact apartment-friendly starter kit (hammer, ratchet driver, wrench, hex keys, tape) that stores in one roll.",Target,https://www.target.com/p/tinkr-home-essentials-kit-with-canvas-roll-up-case/-/A-94618326,29.99,24.99,sale vs list on merchant page (Target: $24.99 reg $29.99),true,,under_25,In-store vs online pricing may differ; confirm reg/sale at checkout. Kit contents are entry-level tools.,,impact,Use Target product hero of rolled canvas kit; do not hotlink without permission — note URL from Target PDP media.,https://target.scene7.com/is/image/Target/GUEST_0c9c6243-86e9-40f2-af88-e4577a477ba0?wid=600&hei=600&qlt=85,TINKR Home Essentials Kit with Canvas Roll-up Case,target,
stanley-fatmax-25ft-tape-homedepot,Stanley FatMax 25 ft. Tape Measure,home,hand-tools,A wide-blade 25 ft tape that stands out farther than skinny tapes—useful for solo measuring around the house.,Home Depot,https://www.homedepot.com/p/Stanley-25-ft-FATMAX-Tape-Measure-33-725Y/100052995,,24.97,price check only — no verified discount,false,,under_25,Local store prices may vary. Confirm model 33-725Y (or current FatMax SKU) before linking.,,impact,Home Depot PDP product image of yellow FatMax tape; prefer merchant CDN URL if publicly linked.,https://images.thdstatic.com/productImages/df5797b7-07fb-46c8-919c-64a2662fdc81/svn/stanley-tape-measures-33-725y-64_600.jpg,Stanley FatMax 25 ft. Tape Measure,homedepot,
black-decker-led-under-cabinet-2bar-homedepot,BLACK+DECKER 9 in. LED 2-Bar Battery Under Cabinet Lighting Kit,home,lighting,Battery stick-on under-cabinet bars for renters who want brighter counters without hardwiring.,Home Depot,https://www.homedepot.com/p/BLACK-DECKER-9-in-LED-2-Bar-Battery-Under-Cabinet-Lighting-Kit-in-Warm-White-LEDUC9-2BAT/319898754,,24.69,price check only — no verified discount,false,,under_25,Requires 3 AA batteries (not included). Local store prices may vary.,,impact,Home Depot product image of warm-white LED bars; model LEDUC9-2BAT.,,,,
milwaukee-9in1-multi-nut-driver-homedepot,Milwaukee 9-in-1 Multi-Nut Driver,home,hand-tools,"One slim driver covering common nut sizes—handy for furniture, appliances, and bike rack hardware.",Home Depot,https://www.homedepot.com/p/Milwaukee-9-in-1-Multi-Nut-Driver-48-22-2920/327600606,,27.97,price check only — no verified discount,false,,under_50,HD consumer card promos are separate from product price; do not advertise card offers as product discounts.,,impact,Home Depot PDP image of multi-nut driver; model 48-22-2920.,,,,
hart-2-position-ratcheting-screwdriver-walmart,HART 2-Position Ratcheting Screwdriver,home,hand-tools,A basic ratcheting driver for furniture assembly and wall-mount jobs without buying a full bit kit.,Walmart,https://www.walmart.com/search?q=HART+2-Position+Ratcheting+Screwdriver,21.24,14.86,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_25,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
hart-5pc-impact-drive-bit-set-walmart,HART 5-Piece Impact Drive Bit Set,home,hand-tools,Small impact bit set for common fastener jobs when you only need a few sizes.,Walmart,https://www.walmart.com/search?q=HART+5-Piece+Impact+Drive+Bit+Set,7.75,3.97,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_25,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
hart-titanium-drill-bit-set-walmart,HART Titanium Drill Bit Set,home,hand-tools,Budget titanium-coated bits for occasional wood/metal drilling around the house.,Walmart,https://www.walmart.com/search?q=HART+Titanium+Drill+Bit+Set,7.19,3.58,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_25,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
hart-anti-vibration-work-gloves-walmart,HART Anti-Vibration Work Gloves,home,safety-gear,Padded work gloves for yard and demo tasks where vibration and grip matter more than fashion.,Walmart,https://www.walmart.com/search?q=HART+Anti-Vibration+Work+Gloves,16.96,14.98,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_25,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
hart-18ga-brad-nails-1000-walmart,"HART 1,000-Piece 18-Gauge Brad Nails",home,fasteners,Consumable brad nails for trim and craft nailers—buy only if you already own a compatible gun.,Walmart,https://www.walmart.com/search?q=HART+18-Gauge+Brad+Nails+1000,6.3,3.24,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_25,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
hart-10gal-wet-dry-vac-walmart,HART 10-Gallon 6-Peak-HP Wet/Dry Vacuum,home,cleaning-tools,Shop-vac capacity for garage spills and remodel dust without paying pro-tier prices.,Walmart,https://www.walmart.com/search?q=HART+10-Gallon+Wet+Dry+Vacuum,66.78,44.46,"secondary deal report citing merchant was/now (Bob Vila Walmart HART clearance, published 2026-09-17) — re-verify on Walmart PDP before publish",false,,under_50,"HART inventory clearing at Walmart; many SKUs go OOS. Confirm exact SKU, battery inclusion, and live price. Search URL used when canonical PDP not confirmed.",,impact,Walmart PDP hero for matching HART SKU once locked; do not use Bob Vila photos without license.,,,,
